"","eta1","eta2","eta3","eta4","eta5"
"B4Q3A",-0.0116,-0.0117,-0.0038,4e-04,0.0016
"B4Q3B",-2e-04,0.0089,-0.0045,-0.0076,-2e-04
"B4Q3C",0.0021,-0.0116,0.0167,0.0091,0.0081
"B4Q3D",0.0032,-0.0123,0.0092,0.0033,0.0011
"B4Q3E",0.0079,0.0091,-0.018,-0.0083,-0.0182
"B4Q3F",-0.0021,0,0.0124,0.0062,0.0066
"B4Q3G",-0.0203,0.0047,0.0127,-0.0191,-0.0021
"B4Q3H",0.0138,-0.0092,0.0117,0.0121,0.0202
"B4Q3I",-0.0133,0.0031,0.0073,-0.0086,-0.0073
"B4Q3J",-0.0118,-0.0068,0.0176,-0.0082,0.0125
"B4Q3K",0.0099,0.0015,-0.0246,0.0105,0.0069
"B4Q3L",0.0129,-0.0071,0.0094,0.0277,0.019
"B4Q3M",0.0179,-0.0167,-0.0304,0.0287,0.0104
"B4Q3N",0.0057,-0.0069,0.0204,-0.0028,0.0049
"B4Q3O",-0.0236,0.0205,0.006,-0.0035,-0.0159
"B4Q3P",0.0075,-0.0025,-0.0029,0.0126,0.0125
"B4Q3Q",0.0117,-0.0174,5e-04,0.0046,0.0207
"B4Q3R",0.0076,-0.0087,0.0138,-0.0029,0.0127
"B4Q3S",-0.0183,0.0129,0.0054,0.0096,-0.0051
"B4Q3T",-0.0187,-0.0049,4e-04,0.0039,0.0033
"B4BSCL14",-0.0019,-0.0215,3e-04,-0.0088,0.006
"B4BNE12",-0.0026,-0.0014,7e-04,-0.021,-0.0013
"B4BIL6",0,6e-04,-0.007,-0.0102,-0.0148
"B4BFGN",0.009,0.0131,-0.0229,0.0147,-0.0126
"B4BCRP",0.0045,-0.0191,-0.0057,-0.0046,0.0028
"wl_immediate_omit",-0.0084,-0.0112,-9e-04,-0.0188,-0.0074
"wl_immediate_repetition",0.0249,-0.0074,-0.0121,0.0391,0.0351
"wl_immediate_intrusion",0.0031,-0.0194,-0.018,-5e-04,-0.0026
"wl_delayed_omit",-0.0101,-0.0105,0.0044,-0.0158,-0.0022
"wl_delayed_repetition",0.0116,0.0034,-0.0341,0.0463,0.0048
"wl_delayed_intrusion",0.0043,-0.0207,-0.0029,0.0181,0.0069
"catflu_repetition",0.0092,-0.013,-0.0201,0.0134,-0.0146
"catflu_intrusion",0.009,0.0359,-0.0124,0.0583,0.0244
"numseries_incorrect",-0.0029,-0.0145,7e-04,-0.0242,-0.01
"backcount_error",0.0102,-0.0032,0.0208,-0.0144,-0.0104
"sgst_normal_incorrect",-0.0032,-0.0194,-5e-04,-0.0013,-0.0042
"sgst_reverse_incorrect",0.0035,0.0045,-0.0068,-0.004,-0.0138
"sgst_mixed_nonswitch_incorrect",0.0251,0.0111,-0.002,0.0381,0.0159
"sgst_mixed_switch_incorrect",0.0252,0.0052,0.0077,0.0212,0.0083
"sgst_mixed_all_incorrect",0.0233,0.0076,-2e-04,0.0397,0.0194
"B4Q1D",-0.0082,-0.0163,0.0147,-0.011,0.0059
"B4Q1H",0.0117,0.002,-0.0276,-0.0156,-0.0079
"B4Q1K",0.0157,-0.005,0.0302,0.0267,0.0253
"B4Q1N",0.0076,-0.011,0.0153,0.0259,0.0259
"B4Q1P",0.0041,0.0319,-0.0173,0.0342,-0.0052
"B4Q1T",-0.0243,0.0087,-0.0063,-0.0311,-0.0233
"B4Q1Z",0.008,-0.0049,0.02,0.022,0.0341
"B4Q1FF",-8e-04,0.004,0.0247,0.0089,0.0247
"B4Q1II",-0.027,0.0075,-0.0037,-0.0287,-0.0207
"B4Q1CCC",-0.0014,3e-04,0.022,0.0149,0.0296
"B4Q1GGG",-0.0214,-2e-04,0.0223,-0.0156,-0.0043
"B4Q1B",-0.0063,-0.0059,0.0137,-0.0205,-0.0116
"B4Q1F",0.0051,-0.0107,0.0178,0.0054,0.0161
"B4Q1M",-0.0108,0.0015,-0.005,-0.0326,-0.0184
"B4Q1Q",-0.0101,3e-04,-0.0047,-0.0271,-0.0254
"B4Q1S",0.021,0.0182,-0.0268,-0.0107,-0.0183
"B4Q1X",-0.0078,0.0116,0.0044,-0.0211,-0.0222
"B4Q1BB",0.0031,-0.0137,0.0062,-7e-04,0.0052
"B4Q1DD",-0.0207,0.0329,-0.0233,-0.0121,-0.0424
"B4Q1KK",-0.0141,0.0081,-0.0061,-0.0332,-0.0199
"B4Q1NN",-0.0095,0.0162,-0.0094,-0.026,-0.0163
"B4Q1PP",0.0081,0.0344,0.0046,-0.0108,-0.0102
"B4Q1RR",7e-04,0.0109,0.015,-0.0019,0.0135
"B4Q1TT",-0.0037,0.008,-0.0027,-0.0176,-0.0082
"B4Q1VV",-0.0031,0.0083,-0.0288,6e-04,-0.0118
"B4Q1ZZ",-0.023,-0.0039,0.0195,-0.0206,-0.0032
"B4Q1BBB",-0.008,0.0164,-0.0084,-0.0221,-0.0177
"B4Q1JJJ",-0.0024,0.0044,-0.0052,-0.0259,-0.0108
