"model","param","n_param_mean","n_param_sd","n_covered_mean","n_covered_sd","pct_mean","pct_sd","mean_width_mean","mean_width_sd","sum_width_mean","sum_width_sd"
"unilayer","alpha",150,NA,123,NA,82,NA,1.2998730029269,NA,194.980950439035,NA
"multilayer","alpha1",150,NA,146,NA,97.3333333333333,NA,2.05455706736274,NA,308.18356010441,NA
"multilayer","alpha2",150,NA,144,NA,96,NA,1.19857025207655,NA,179.785537811482,NA
"multilayer","alpha3",150,NA,140,NA,93.3333333333333,NA,1.79068823646711,NA,268.603235470066,NA
"multilayer","alpha4",150,NA,146,NA,97.3333333333333,NA,1.68636989113066,NA,252.955483669598,NA
"unilayer","beta",90,NA,56,NA,62.2222222222222,NA,1.50164087512046,NA,135.147678760841,NA
"unilayer","beta_seg_bin",30,NA,23,NA,76.6666666666667,NA,1.54923936939994,NA,46.4771810819983,NA
"unilayer","beta_seg_cnt_dich",30,NA,29,NA,96.6666666666667,NA,1.32213045935216,NA,39.663913780565,NA
"unilayer","beta_seg_con_dich",30,NA,4,NA,13.3333333333333,NA,1.63355279660926,NA,49.0065838982777,NA
"multilayer","beta1",30,NA,30,NA,100,NA,1.70028676231692,NA,51.0086028695076,NA
"multilayer","beta2",30,NA,30,NA,100,NA,1.08760011284473,NA,32.628003385342,NA
"multilayer","beta3",30,NA,28,NA,93.3333333333333,NA,1.30961445248418,NA,39.2884335745255,NA
"multilayer","beta4_grm_thr",120,NA,111,NA,92.5,NA,1.71046296345576,NA,205.255555614691,NA
"unilayer","dist_all",18000,NA,14330,NA,79.6111111111111,NA,2.39019843038025,NA,43023.5717468445,NA
"multilayer","dist_bin",4500,NA,4374,NA,97.2,NA,2.25929812342757,NA,10166.8415554241,NA
"multilayer","dist_cnt",4500,NA,4286,NA,95.2444444444444,NA,1.8468093293526,NA,8310.64198208671,NA
"multilayer","dist_con",4500,NA,4324,NA,96.0888888888889,NA,1.6682263727481,NA,7507.01867736645,NA
"multilayer","dist_ord",4500,NA,4310,NA,95.7777777777778,NA,2.13862971459093,NA,9623.83371565918,NA
"multilayer","gamma1",1,NA,1,NA,100,NA,0.32248507333332,NA,0.32248507333332,NA
"unilayer","gamma1",1,NA,0,NA,0,NA,0.174178664271021,NA,0.174178664271021,NA
"multilayer","gamma2",1,NA,1,NA,100,NA,0.199557232566151,NA,0.199557232566151,NA
"multilayer","gamma3",1,NA,1,NA,100,NA,0.278023678116947,NA,0.278023678116947,NA
"multilayer","gamma4",1,NA,0,NA,0,NA,0.277896623744442,NA,0.277896623744442,NA
"multilayer","sigma0_sq",1,NA,0,NA,0,NA,0.102235061794027,NA,0.102235061794027,NA
