"rep","param","n_param","n_covered","pct","mean_width","sum_width"
1,"alpha",150,121,80.6666666666667,1.92214919797659,288.322379696488
1,"beta1",10,9,90,1.3148470358905,13.148470358905
1,"beta2",10,10,100,1.1560773049631,11.560773049631
1,"beta3",10,4,40,1.21964399350948,12.1964399350948
1,"delta",30,27,90,1.83081258690236,54.9243776070709
1,"dist_bin",1500,1404,93.6,2.49564016651906,3743.4602497786
1,"dist_cnt",1500,1229,81.9333333333333,2.37243994307946,3558.6599146192
1,"dist_con",1500,1250,83.3333333333333,2.28608357548346,3429.1253632252
1,"dist_ord",1500,1352,90.1333333333333,2.49878707138602,3748.18060707903
1,"OVERALL",6220,5416,87.0739549839228,2.38899977095646,14859.5785753492
1,"u",10,10,100,0,0
2,"alpha",150,120,80,1.91151261837387,286.726892756081
2,"beta1",10,9,90,1.32168576928308,13.2168576928308
2,"beta2",10,10,100,1.15371322643313,11.5371322643313
2,"beta3",10,3,30,1.24726805526362,12.4726805526362
2,"delta",30,27,90,1.8140042850027,54.420128550081
2,"dist_bin",1500,1407,93.8,2.49196911351281,3737.95367026921
2,"dist_cnt",1500,1229,81.9333333333333,2.38494546511334,3577.41819767
2,"dist_con",1500,1239,82.6,2.2492633749424,3373.8950624136
2,"dist_ord",1500,1357,90.4666666666667,2.49390138138756,3740.85207208134
2,"OVERALL",6220,5411,86.9935691318328,2.38078660679262,14808.4926942501
2,"u",10,10,100,0,0
3,"alpha",150,120,80,1.90965288986671,286.447933480006
3,"beta1",10,9,90,1.33582565927491,13.358256592749
3,"beta2",10,10,100,1.15592202642843,11.5592202642843
3,"beta3",10,4,40,1.23713266933691,12.3713266933691
3,"delta",30,27,90,1.81698492893569,54.5095478680708
3,"dist_bin",1500,1408,93.8666666666667,2.50281599994767,3754.2239999215
3,"dist_cnt",1500,1234,82.2666666666667,2.38509796125769,3577.64694188653
3,"dist_con",1500,1250,83.3333333333333,2.26108706019466,3391.63059029198
3,"dist_ord",1500,1351,90.0666666666667,2.49319677646022,3739.79516469032
3,"OVERALL",6220,5423,87.1864951768489,2.38610015782778,14841.5429816888
3,"u",10,10,100,0,0
4,"alpha",150,119,79.3333333333333,1.90534068752163,285.801103128244
4,"beta1",10,9,90,1.29585012648817,12.9585012648817
4,"beta2",10,10,100,1.159840820117,11.59840820117
4,"beta3",10,3,30,1.24241823166344,12.4241823166344
4,"delta",30,27,90,1.83676793637632,55.1030380912897
4,"dist_bin",1500,1408,93.8666666666667,2.47857055286662,3717.85582929993
4,"dist_cnt",1500,1228,81.8666666666667,2.38794393256522,3581.91589884783
4,"dist_con",1500,1234,82.2666666666667,2.25405033530625,3381.07550295937
4,"dist_ord",1500,1349,89.9333333333333,2.48339450265157,3725.09175397735
4,"OVERALL",6220,5397,86.7684887459807,2.37682061384031,14783.8242180867
4,"u",10,10,100,0,0
5,"alpha",150,120,80,1.91533935523611,287.300903285417
5,"beta1",10,9,90,1.30308779788688,13.0308779788688
5,"beta2",10,10,100,1.11057564075255,11.1057564075255
5,"beta3",10,4,40,1.21948721412155,12.1948721412155
5,"delta",30,27,90,1.82134920063987,54.6404760191961
5,"dist_bin",1500,1409,93.9333333333333,2.4820695511067,3723.10432666005
5,"dist_cnt",1500,1222,81.4666666666667,2.37817020092501,3567.25530138752
5,"dist_con",1500,1228,81.8666666666667,2.24623443730064,3369.35165595097
5,"dist_ord",1500,1348,89.8666666666667,2.50189497328469,3752.84245992703
5,"OVERALL",6220,5387,86.6077170418006,2.37794640349804,14790.8266297578
5,"u",10,10,100,0,0
6,"alpha",150,122,81.3333333333333,1.90321848379361,285.482772569041
6,"beta1",10,9,90,1.31196194423736,13.1196194423736
6,"beta2",10,10,100,1.16780438047709,11.6780438047709
6,"beta3",10,4,40,1.249676341574,12.49676341574
6,"delta",30,27,90,1.82091472131331,54.6274416393994
6,"dist_bin",1500,1403,93.5333333333333,2.49069390540346,3736.04085810518
6,"dist_cnt",1500,1224,81.6,2.37978596771733,3569.678951576
6,"dist_con",1500,1236,82.4,2.25077037736773,3376.15556605159
6,"dist_ord",1500,1348,89.8666666666667,2.48924290389981,3733.86435584972
6,"OVERALL",6220,5393,86.7041800643087,2.37831903094113,14793.1443724538
6,"u",10,10,100,0,0
7,"alpha",150,120,80,1.90799609001876,286.199413502814
7,"beta1",10,9,90,1.30675431865766,13.0675431865766
7,"beta2",10,10,100,1.14154657815104,11.4154657815104
7,"beta3",10,3,30,1.23571809113891,12.3571809113891
7,"delta",30,27,90,1.82721464346968,54.8164393040904
7,"dist_bin",1500,1405,93.6666666666667,2.48137245162933,3722.05867744399
7,"dist_cnt",1500,1224,81.6,2.37275445122031,3559.13167683046
7,"dist_con",1500,1237,82.4666666666667,2.24936466134701,3374.04699202052
7,"dist_ord",1500,1342,89.4666666666667,2.48989455912842,3734.84183869263
7,"OVERALL",6220,5387,86.6077170418006,2.37426611377395,14767.935227674
7,"u",10,10,100,0,0
8,"alpha",150,120,80,1.90337639097025,285.506458645537
8,"beta1",10,9,90,1.30280619449634,13.0280619449634
8,"beta2",10,10,100,1.15185182930547,11.5185182930547
8,"beta3",10,3,30,1.23859419054387,12.3859419054387
8,"delta",30,27,90,1.81771278684647,54.5313836053941
8,"dist_bin",1500,1405,93.6666666666667,2.48764440537964,3731.46660806946
