"criterion","rep","param","n_param","n_covered","pct","mean_width"
"mean",1,"alpha",150,121,80.6666666666667,2.96805280808388
"mean",1,"beta",30,15,50,1.85751310880707
"mean",1,"dist",6000,4577,76.2833333333333,3.09006024794502
"mean",1,"OVERALL",6180,4713,76.2621359223301,3.08111566377782
"mean",2,"alpha",150,120,80,2.97953328455381
"mean",2,"beta",30,16,53.3333333333333,1.86090586486569
"mean",2,"dist",6000,4578,76.3,3.09177354150506
"mean",2,"OVERALL",6180,4714,76.2783171521036,3.08307417761479
"mean",3,"alpha",150,119,79.3333333333333,2.9734862383889
"mean",3,"beta",30,16,53.3333333333333,1.88227479014004
"mean",3,"dist",6000,4580,76.3333333333333,3.09808360030757
"mean",3,"OVERALL",6180,4715,76.294498381877,3.08915740797863
"mean",4,"alpha",150,121,80.6666666666667,2.9822450318992
"mean",4,"beta",30,16,53.3333333333333,1.85635140375398
"mean",4,"dist",6000,4571,76.1833333333333,3.08270670707687
"mean",4,"OVERALL",6180,4708,76.1812297734628,3.07431513581856
"mean",5,"alpha",150,124,82.6666666666667,2.99631057337757
"mean",5,"beta",30,15,50,1.87577461421916
"mean",5,"dist",6000,4605,76.75,3.10301995583392
"mean",5,"OVERALL",6180,4744,76.7637540453074,3.09447242062083
"mean",6,"alpha",150,119,79.3333333333333,2.98342537348099
"mean",6,"beta",30,15,50,1.85411910503332
"mean",6,"dist",6000,4578,76.3,3.08916635199855
"mean",6,"OVERALL",6180,4712,76.2459546925566,3.08060444840849
"mean",7,"alpha",150,123,82,2.99266542768105
"mean",7,"beta",30,15,50,1.88075733464526
"mean",7,"dist",6000,4602,76.7,3.09772379590778
"mean",7,"OVERALL",6180,4740,76.6990291262136,3.08926623133305
"mean",8,"alpha",150,121,80.6666666666667,2.98360309849053
"mean",8,"beta",30,16,53.3333333333333,1.88311928754984
"mean",8,"dist",6000,4589,76.4833333333333,3.09711891586948
"mean",8,"OVERALL",6180,4726,76.4724919093851,3.08847047550436
"mean",9,"alpha",150,120,80,2.99116500281927
"mean",9,"beta",30,15,50,1.85238790464201
"mean",9,"dist",6000,4585,76.4166666666667,3.08375424388998
"mean",9,"OVERALL",6180,4720,76.3754045307443,3.07552942571231
"mean",10,"alpha",150,122,81.3333333333333,2.9747075316479
"mean",10,"beta",30,16,53.3333333333333,1.8738207317539
"mean",10,"dist",6000,4585,76.4166666666667,3.09660172331803
"mean",10,"OVERALL",6180,4723,76.4239482200647,3.0877072963767
"Q1",1,"alpha",150,124,82.6666666666667,2.57423425169531
"Q1",1,"beta",30,19,63.3333333333333,1.82738335402882
"Q1",1,"dist",6000,4665,77.75,2.92308271286575
"Q1",1,"OVERALL",6180,4808,77.7993527508091,2.90929658827988
"Q1",2,"alpha",150,126,84,2.57118822820606
"Q1",2,"beta",30,19,63.3333333333333,1.83888847224171
"Q1",2,"dist",6000,4676,77.9333333333333,2.92534584018856
"Q1",2,"OVERALL",6180,4821,78.0097087378641,2.91147571675235
"Q1",3,"alpha",150,125,83.3333333333333,2.58222914355528
"Q1",3,"beta",30,19,63.3333333333333,1.86349586161923
"Q1",3,"dist",6000,4657,77.6166666666667,2.93066599517769
"Q1",3,"OVERALL",6180,4801,77.6860841423948,2.91702835249968
"Q1",4,"alpha",150,124,82.6666666666667,2.57823239444071
"Q1",4,"beta",30,20,66.6666666666667,1.8510226602591
"Q1",4,"dist",6000,4684,78.0666666666667,2.93020477130954
"Q1",4,"OVERALL",6180,4828,78.1229773462783,2.91642300434161
"Q1",5,"alpha",150,124,82.6666666666667,2.57215460681336
"Q1",5,"beta",30,19,63.3333333333333,1.83644691383323
"Q1",5,"dist",6000,4654,77.5666666666667,2.92185878475853
