"","B4Q3A","B4Q3B","B4Q3C","B4Q3D","B4Q3E","B4Q3F","B4Q3G","B4Q3H","B4Q3I","B4Q3J","B4Q3K","B4Q3L","B4Q3M","B4Q3N","B4Q3O","B4Q3P","B4Q3Q","B4Q3R","B4Q3S","B4Q3T","B4BSCL14","B4BNE12","B4BIL6","B4BFGN","B4BCRP","wl_immediate_omit","wl_immediate_repetition","wl_immediate_intrusion","wl_delayed_omit","wl_delayed_repetition","wl_delayed_intrusion","catflu_repetition","catflu_intrusion","numseries_incorrect","backcount_error","sgst_normal_incorrect","sgst_reverse_incorrect","sgst_mixed_nonswitch_incorrect","sgst_mixed_switch_incorrect","sgst_mixed_all_incorrect","B4Q1D","B4Q1H","B4Q1K","B4Q1N","B4Q1P","B4Q1T","B4Q1Z","B4Q1FF","B4Q1II","B4Q1CCC","B4Q1GGG","B4Q1B","B4Q1F","B4Q1M","B4Q1Q","B4Q1S","B4Q1X","B4Q1BB","B4Q1DD","B4Q1KK","B4Q1NN","B4Q1PP","B4Q1RR","B4Q1TT","B4Q1VV","B4Q1ZZ","B4Q1BBB","B4Q1JJJ"
"B4Q3A",0,0.4166,0.5194,0.5095,0.4067,0.5287,0.3948,0.5525,0.4782,0.4789,0.4162,0.5613,0.5175,0.5099,0.4476,0.5584,0.4815,0.5294,0.5162,0.4878,0.4907,0.3911,0.4092,0.4681,0.4395,0.4666,0.5661,0.4352,0.475,0.527,0.511,0.5233,0.6016,0.4397,0.4715,0.4053,0.409,0.5259,0.4857,0.5195,0.5114,0.4065,0.5269,0.54,0.5543,0.4259,0.5277,0.5072,0.4185,0.5097,0.3597,0.4757,0.4365,0.4063,0.4602,0.3982,0.3963,0.4353,0.417,0.4136,0.4091,0.4018,0.357,0.3508,0.5285,0.4641,0.3312,0.3581
"B4Q3B",0.4166,0,0.4894,0.4718,0.4631,0.506,0.387,0.5243,0.4654,0.4415,0.4948,0.5241,0.5932,0.4773,0.4987,0.5413,0.5099,0.5153,0.5398,0.491,0.5359,0.4307,0.3301,0.375,0.3998,0.5001,0.6102,0.4751,0.5098,0.5939,0.5651,0.5904,0.6041,0.4269,0.4212,0.4014,0.3415,0.4373,0.3905,0.4284,0.4843,0.4469,0.4886,0.5119,0.5928,0.4057,0.5024,0.4882,0.4235,0.494,0.3411,0.422,0.3742,0.3807,0.4363,0.395,0.4145,0.3681,0.4624,0.3813,0.3507,0.4287,0.3379,0.3422,0.5594,0.4428,0.3644,0.3719
"B4Q3C",0.5194,0.4894,0,0.3638,0.5321,0.3409,0.4398,0.3757,0.3765,0.3786,0.5895,0.3759,0.6006,0.3571,0.4763,0.3775,0.497,0.35,0.4105,0.3877,0.43,0.5027,0.4794,0.5431,0.4542,0.4102,0.5337,0.5011,0.4031,0.6174,0.4444,0.5072,0.552,0.4,0.4018,0.4737,0.4854,0.6342,0.5873,0.6271,0.3288,0.5467,0.4188,0.3908,0.459,0.4097,0.4149,0.3716,0.4185,0.3808,0.4323,0.3607,0.4442,0.437,0.4013,0.5352,0.4616,0.4686,0.4901,0.4266,0.4484,0.5758,0.4849,0.4891,0.4006,0.3653,0.5013,0.4848
"B4Q3D",0.5095,0.4718,0.3638,0,0.5275,0.3573,0.4317,0.3597,0.3787,0.3791,0.5903,0.367,0.603,0.3583,0.4823,0.3778,0.4947,0.3621,0.4205,0.3903,0.4339,0.4922,0.4544,0.5261,0.4315,0.4067,0.5373,0.4997,0.4018,0.6224,0.4595,0.5156,0.5572,0.3772,0.3717,0.4587,0.4606,0.6221,0.5719,0.6133,0.3225,0.5358,0.4266,0.4004,0.4647,0.3962,0.4312,0.3881,0.412,0.4004,0.4215,0.3294,0.4275,0.4186,0.3854,0.5217,0.4525,0.4463,0.4719,0.4087,0.4308,0.5632,0.4704,0.4688,0.4032,0.3649,0.4912,0.4745
"B4Q3E",0.4067,0.4631,0.5321,0.5275,0,0.5489,0.4084,0.5661,0.4895,0.5177,0.3748,0.5773,0.4604,0.5332,0.4234,0.5651,0.4696,0.5351,0.4955,0.4797,0.4516,0.3603,0.4452,0.5188,0.4317,0.4098,0.5271,0.3767,0.4219,0.472,0.4635,0.4623,0.6279,0.4142,0.4794,0.4302,0.4534,0.6342,0.5856,0.6268,0.5135,0.3376,0.5935,0.593,0.5068,0.39,0.595,0.5676,0.3859,0.5698,0.4085,0.4715,0.5284,0.3655,0.4147,0.3378,0.3489,0.5338,0.3726,0.3771,0.382,0.4055,0.4371,0.3399,0.4957,0.4761,0.3174,0.3174
"B4Q3F",0.5287,0.506,0.3409,0.3573,0.5489,0,0.4479,0.3526,0.3673,0.3571,0.6053,0.349,0.6155,0.3336,0.4797,0.349,0.5133,0.3145,0.4008,0.3743,0.4333,0.5224,0.5017,0.565,0.4925,0.4328,0.5326,0.5305,0.4232,0.6255,0.4605,0.5225,0.5143,0.4301,0.4032,0.4855,0.5073,0.6314,0.5895,0.6253,0.306,0.5699,0.3585,0.3247,0.4659,0.4329,0.354,0.3119,0.4375,0.3158,0.4471,0.3681,0.4292,0.4716,0.4246,0.5589,0.481,0.4536,0.5071,0.4537,0.48,0.5817,0.4898,0.5131,0.3904,0.3589,0.5208,0.5151
"B4Q3G",0.3948,0.387,0.4398,0.4317,0.4084,0.4479,0,0.492,0.3833,0.3794,0.49,0.5107,0.5767,0.4182,0.4118,0.5007,0.4903,0.439,0.4528,0.3905,0.4284,0.3733,0.3706,0.4823,0.395,0.3778,0.5714,0.4171,0.3855,0.5879,0.4685,0.5205,0.6276,0.3411,0.3816,0.3795,0.3806,0.5854,0.5221,0.5753,0.3831,0.4357,0.5025,0.5014,0.5244,0.3025,0.5018,0.4449,0.3052,0.4541,0.2635,0.3464,0.3911,0.319,0.3416,0.4147,0.3356,0.4007,0.3959,0.3023,0.3304,0.4415,0.3254,0.3248,0.4567,0.3253,0.3198,0.3259
"B4Q3H",0.5525,0.5243,0.3757,0.3597,0.5661,0.3526,0.492,0,0.4169,0.4071,0.6071,0.3315,0.5944,0.3775,0.5086,0.3347,0.5097,0.3647,0.4311,0.4154,0.448,0.545,0.5212,0.5694,0.4977,0.4541,0.5035,0.5404,0.4447,0.6113,0.4628,0.5056,0.4982,0.4546,0.4299,0.5072,0.5259,0.6293,0.5912,0.6228,0.364,0.578,0.3851,0.3585,0.437,0.4739,0.3859,0.3719,0.4822,0.3717,0.4929,0.4072,0.4633,0.4988,0.4559,0.5659,0.517,0.4813,0.5311,0.4899,0.5056,0.5944,0.5232,0.5359,0.4071,0.423,0.5487,0.5373
"B4Q3I",0.4782,0.4654,0.3765,0.3787,0.4895,0.3673,0.3833,0.4169,0,0.3603,0.5658,0.4285,0.5959,0.3516,0.4325,0.4138,0.4971,0.3627,0.3944,0.3628,0.4091,0.4542,0.4452,0.5402,0.4353,0.3742,0.5438,0.4678,0.3707,0.6119,0.4379,0.5075,0.5821,0.3617,0.3898,0.4356,0.456,0.6461,0.5918,0.637,0.3211,0.5166,0.4473,0.4258,0.4709,0.3468,0.4427,0.3844,0.3515,0.3921,0.3656,0.3359,0.4193,0.3872,0.3603,0.5041,0.4056,0.442,0.442,0.3669,0.4108,0.5369,0.43,0.4353,0.3926,0.3185,0.4419,0.4357
"B4Q3J",0.4789,0.4415,0.3786,0.3791,0.5177,0.3571,0.3794,0.4071,0.3603,0,0.5851,0.4175,0.6289,0.345,0.4582,0.4202,0.5155,0.3606,0.4285,0.3781,0.4526,0.4903,0.4379,0.5132,0.4576,0.4307,0.5724,0.5143,0.4285,0.6368,0.4924,0.5505,0.5575,0.3979,0.3933,0.443,0.4407,0.5811,0.5299,0.5731,0.2969,0.5475,0.3834,0.3747,0.5206,0.3795,0.3897,0.3356,0.3854,0.3476,0.365,0.3434,0.3742,0.4232,0.3975,0.5224,0.4406,0.3963,0.4721,0.3986,0.4207,0.5371,0.4182,0.4552,0.4376,0.3203,0.4643,0.4657
