"item","layer","cluster","neighbor","sil_width"
"B4Q3F","Bin",1,2,0.721778837841249
"B4Q3L","Bin",1,2,0.700698302167063
"B4Q3H","Bin",1,2,0.693898312400151
"B4Q3N","Bin",1,3,0.681870874770003
"B4Q3R","Bin",1,2,0.672564353404086
"B4Q3P","Bin",1,2,0.661691090394915
"B4Q3C","Bin",1,3,0.635673763200304
"B4Q1CCC","Ord1",1,3,0.600125469175329
"B4Q1FF","Ord1",1,3,0.582070368957303
"B4Q1D","Ord1",1,2,0.542313021717846
"B4Q3D","Bin",1,3,0.521043890250958
"B4Q1Z","Ord1",1,3,0.517302754538907
"B4Q3I","Bin",1,3,0.503021216133209
"B4Q1N","Ord1",1,3,0.491935663470999
"B4Q3T","Bin",1,2,0.467000920543215
"B4Q3J","Bin",1,3,0.45803044978821
"B4Q1K","Ord1",1,3,0.451348116371955
"catflu_intrusion","Cnt",1,2,0.312110497147243
"B4Q3S","Bin",1,2,0.29968121232017
"B4Q1ZZ","Ord1",1,2,0.237851448165839
"B4Q1VV","Ord1",1,2,0.165871990849333
"backcount_error","Cnt",1,3,0.144985128552583
"wl_immediate_intrusion","Cnt",2,3,0.49503116814853
"B4Q1X","Ord1",2,3,0.375904489409745
"B4Q3E","Bin",2,3,0.364533270509412
"B4Q3M","Bin",2,1,0.351722963742904
"B4Q1DD","Ord1",2,3,0.348541759949679
"B4BNE12","Con",2,3,0.326064220258876
"B4Q1H","Ord1",2,3,0.296836651729663
"B4Q1II","Ord1",2,3,0.282007380876694
"wl_immediate_omit","Cnt",2,1,0.279275725537899
"B4Q3K","Bin",2,3,0.278926532917076
"B4Q1Q","Ord1",2,3,0.276463291435417
"wl_delayed_repetition","Cnt",2,1,0.269715883387439
"catflu_repetition","Cnt",2,1,0.253506304673207
"numseries_incorrect","Cnt",2,3,0.239730181294994
"wl_delayed_omit","Cnt",2,1,0.224563767773203
"B4Q1S","Ord1",2,3,0.18971229869947
"B4Q3Q","Bin",2,3,0.181243995666132
"B4Q1T","Ord1",2,3,0.180097222073119
"B4Q1BBB","Ord1",2,3,0.153821765479853
"B4Q1KK","Ord1",2,3,0.147983065891862
"wl_delayed_intrusion","Cnt",2,1,0.135300371387847
"B4Q1JJJ","Ord1",2,3,0.128540641443521
"B4Q1M","Ord1",2,3,0.114573525624368
"B4Q3O","Bin",2,1,0.0575814989118117
"wl_immediate_repetition","Cnt",2,1,0.0256920756706331
"B4BSCL14","Con",2,1,0.0169317451891473
"B4Q1TT","Ord1",2,3,0.0127947787580376
"B4Q1PP","Ord1",2,3,-0.0244360321102945
"B4Q1P","Ord1",2,1,-0.0307352119337192
"B4Q1B","Ord1",2,1,-0.143963576372246
"B4Q1RR","Ord1",3,2,0.59552029161583
"B4BFGN","Con",3,2,0.554824232456863
"B4BIL6","Con",3,2,0.549370168828848
"sgst_reverse_incorrect","Cnt",3,2,0.547337635574516
"B4Q3B","Bin",3,2,0.541732957136938
"sgst_mixed_switch_incorrect","Cnt",3,1,0.526006808889203
"sgst_mixed_all_incorrect","Cnt",3,1,0.38573525348346
"sgst_mixed_nonswitch_incorrect","Cnt",3,1,0.369745948543978
"B4Q1BB","Ord1",3,1,0.36416714877824
"B4Q1GGG","Ord1",3,2,0.271422879454276
"B4Q1F","Ord1",3,1,0.204326241670272
"B4BCRP","Con",3,2,0.203939734988302
"sgst_normal_incorrect","Cnt",3,2,0.176064449263532
"B4Q3G","Bin",3,2,0.172430541606768
"B4Q1NN","Ord1",3,2,0.112190008996258
"B4Q3A","Bin",3,2,0.106281810765786
